Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,preprocessed_text
2388.0,6.0,0.9674000144004822,"deal, u.s., china, tariffs, mexico, border, news, big, country, economy","['last', 'thing', 'make', 'america', 'agenda', 'needs', 'liberal', 'democrat', 'senate', 'little', 'margin', 'victory', 'already', 'pelosi/schumer', 'puppet', 'jones', 'vote', 'us', 'time', 'bad', 'crime', 'life', 'border', 'vets', 'guns', 'military', 'vote', 'roy', 'moore']",last thing the make america great again agenda needs is a liberal democrat in senate where we have so little margin for victory already . the pelosi/schumer puppet jones would vote against us 100 % of the time . he ' s bad on crime life border vets guns & military . vote roy moore !
5613.0,6.0,0.9674000144004822,"deal, u.s., china, tariffs, mexico, border, news, big, country, economy","['.likewise', 'want', 'kurds', 'provoke', 'turkey', 'russia', 'iran', 'syria', 'biggest', 'beneficiaries', 'long', 'term', 'u.s.', 'policy', 'destroying', 'isis', 'syria', 'natural', 'enemies', 'also', 'benefit', 'time', 'bring', 'troops', 'back', 'home', 'stop', 'endless', 'wars']",... .likewise do not want the kurds to provoke turkey . russia iran and syria have been the biggest beneficiaries of the long term u.s. policy of destroying isis in syria - natural enemies . we also benefit but it is now time to bring our troops back home . stop the endless wars !
5127.0,6.0,0.9663000106811523,"deal, u.s., china, tariffs, mexico, border, news, big, country, economy","['catch', 'release', 'obsolete', 'term', 'catch', 'detain', 'illegal', 'immigrants', 'trying', 'come', 'u.s.a.', 'often', 'proudly', 'flying', 'flag', 'nation', 'ask', 'u.s.', 'asylum', 'detained', 'turned', 'away', 'dems', 'must', 'approve', 'border', 'security', 'wall']",catch and release is an obsolete term . it is now catch and detain . illegal immigrants trying to come into the u.s.a. often proudly flying the flag of their nation as they ask for u.s. asylum will be detained or turned away . dems must approve border security & wall now !
5513.0,6.0,0.9650999903678894,"deal, u.s., china, tariffs, mexico, border, news, big, country, economy","['mexico', 'paying', 'wall', 'new', 'usmca', 'trade', 'deal', 'much', 'wall', 'already', 'fully', 'renovated', 'built', 'done', 'lot', 'work', 'billion', 'dollars', 'house', 'approved', 'little', 'comparison', 'benefits', 'national', 'security', 'quick', 'payback']",mexico is paying for the wall through the new usmca trade deal . much of the wall has already been fully renovated or built . we have done a lot of work . $ 5.6 billion dollars that house has approved is very little in comparison to the benefits of national security . quick payback !
,,,,,
5466.0,7.0,0.968500018119812,"president, news, china, media, fake, russia, time, country, democrats, trump","['cnn', 'others', 'within', 'fake', 'news', 'universe', 'going', 'wild', 'signing', 'maga', 'hats', 'military', 'iraq', 'germany', 'brave', 'young', 'people', 'ask', 'sign', 'hat', 'sign', 'imagine', 'saying', 'brought', 'gave', 'hats', 'fake', 'news', 'first', 'reported']",cnn & others within the fake news universe were going wild about my signing maga hats for our military in iraq and germany . if these brave young people ask me to sign their hat i will sign . can you imagine my saying no ? we brought or gave no hats as the fake news first reported !
9019.0,7.0,0.9663000106811523,"president, news, china, media, fake, russia, time, country, democrats, trump","['.the', 'area', 'start', 'new', 'war', 'turkey', 'member', 'nato', 'others', 'say', 'stay', 'let', 'kurds', 'fight', 'battles', 'even', 'financial', 'help', 'say', 'hit', 'turkey', 'hard', 'financially', 'sanctions', 'play', 'rules', 'watching', 'closely']",... .the area and start a new war all over again . turkey is a member of nato . others say stay out let the kurds fight their own battles ( even with our financial help ) . i say hit turkey very hard financially & with sanctions if they don ' t play by the rules ! i am watching closely .
5919.0,7.0,0.9663000106811523,"president, news, china, media, fake, russia, time, country, democrats, trump","['thinking', 'james', 'comey', 'good', 'fbi', 'director', 'tantamount', 'agent', 'russia', 'list', 'people', 'agents', 'russia', 'chuck', 'schumer', 'nancy', 'pelosi', 'rod', 'rosenstein', 'wrote', 'memo', 'get', 'rid', 'comey', 'inspector', 'general', 'trey', 'gowdy']",""" if thinking that james comey is not a good fbi director is tantamount to being an agent of russia than just list all the people that are agents of russia - chuck schumer nancy pelosi rod rosenstein who wrote the memo to get rid of comey the inspector general ... . "" trey gowdy"
6584.0,7.0,0.9650999903678894,"president, news, china, media, fake, russia, time, country, democrats, trump","['.up', 'like', 'rocket', 'lowering', 'rates', 'like', 'one', 'point', 'quantitative', 'easing', 'yes', 'well', 'gdp', 'wonderfully', 'low', 'inflation', 'could', 'setting', 'major', 'records', 'time', 'make', 'national', 'debt', 'start', 'look', 'small']",... .up like a rocket if we did some lowering of rates like one point and some quantitative easing . yes we are doing very well at 3.2 % gdp but with our wonderfully low inflation we could be setting major records & at the same time make our national debt start to look small !
7532.0,7.0,0.9650999903678894,"president, news, china, media, fake, russia, time, country, democrats, trump","['..if', 'mexico', 'produces', 'think', 'biggest', 'part', 'deal', 'mexico', 'yet', 'revealed', 'china', 'similar', 'except', 'devalue', 'currency', 'subsidize', 'companies', 'lessen', 'effect', 'tariffs', 'far', 'little', 'effect', 'consumers', 'companies', 'relocate', 'u.s']",... ..if mexico produces ( which i think they will ) . biggest part of deal with mexico has not yet been revealed ! china is similar except they devalue currency & subsidize companies to lessen effect of 25 % tariffs . so far little effect to consumers . companies will relocate to u.s .
,,,,,
2369.0,8.0,0.9711999893188477,"democrats, states, united, house, new, people, get, many, big, tax","['democrats', 'refusal', 'give', 'even', 'one', 'vote', 'massive', 'tax', 'cuts', 'need', 'republican', 'roy', 'moore', 'win', 'alabama', 'need', 'vote', 'stopping', 'crime', 'illegal', 'immigration', 'border', 'wall', 'military', 'pro', 'life', 'v.a', 'judges', '2nd', 'amendment', 'jones', 'pelosi/schumer', 'puppet']",democrats refusal to give even one vote for massive tax cuts is why we need republican roy moore to win in alabama . we need his vote on stopping crime illegal immigration border wall military pro life v.a . judges 2nd amendment and more . no to jones a pelosi/schumer puppet !
